city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
A Coruña,A Coruna,43.3667,-8.3833,Spain,ES,ESP,Galicia,minor,245468,1724417375
A Yun Pa,A Yun Pa,13.3939,108.4408,Vietnam,VN,VNM,Gia Lai,minor,53720,1704945771
Šaľa,Sal'a,48.1503,17.8775,Slovakia,SK,SVK,Nitra,minor,22219,1703397102
Šabac,Sabac,44.7558,19.6939,Serbia,RS,SRB,Šabac,admin,,1688640421
Šakiai,Sakiai,54.95,23.05,Lithuania,LT,LTU,Šakiai,admin,5440,1440362808
Šalčininkai,Salcininkai,54.3167,25.3833,Lithuania,LT,LTU,Šalčininkai,admin,6841,1440401402
Šalovci,Salovci,46.825,16.2981,Slovenia,SI,SVN,Šalovci,admin,392,1705296581
Abrera,Abrera,41.5165,1.9024,Spain,ES,ESP,Catalonia,,12697,1724786014
Abreu e Lima,Abreu e Lima,-7.9117,-34.9028,Brazil,BR,BRA,Pernambuco,,94429,1076355835
Abreus,Abreus,22.2806,-80.5678,Cuba,CU,CUB,Cienfuegos,,23144,1192567991
Absecon,Absecon,39.4229,-74.4944,United States,US,USA,New Jersey,,9039,1840003797
Abu,Abu,24.5925,72.7083,India,IN,IND,Rājasthān,,22943,1356598126
San Diego,San Diego,32.8313,-117.1222,United States,US,USA,California,,3084174,1840021990
